year,county,race,population,misdemeanor,felony,arrest_count
2006,San Benito,Hispanic,29419,1.055035567,0.883310719,1213
2006,San Benito,Asian/Pacific Islander,1345,2.616622988,2.875169607,152
2006,San Bernardino,All Combined,1976769,1.20891052,1.377204885,106045
2006,San Bernardino,Black,170117,2.223886185,3.219810041,18310
2006,San Bernardino,White,748895,1.033695245,1.204884668,34467
2006,San Bernardino,Hispanic,893824,1.281542493,1.339213026,49630
2006,San Bernardino,Asian/Pacific Islander,116684,0.198427555,0.214382632,1013
2006,San Diego,All Combined,2982817,0.968925496,0.829715061,116477
2006,San Diego,Black,152009,2.631973044,3.135006784,18068
2006,San Diego,White,1536514,0.903406964,0.613297151,51909
2006,San Diego,Hispanic,892573,1.049045301,0.997964722,39456
2006,San Diego,Asian/Pacific Islander,308020,0.295394983,0.349389417,4140
2006,San Francisco,All Combined,782928,0.71920629,1.5,32357
2006,San Francisco,Black,51519,4.001123175,11.27204885,14069
2006,San Francisco,White,336005,0.784350431,1.386024423,13902
2006,San Francisco,Hispanic,115343,0.105578435,0.036635007,387
2006,San Francisco,Asian/Pacific Islander,257456,0.02321228,0.008819539,192
2006,San Joaquin,All Combined,660886,1.42680644,1.492537313,39759
2006,San Joaquin,Black,45627,3.822912767,4.564450475,7732
2006,San Joaquin,White,268267,1.232497192,1.26797829,13857
2006,San Joaquin,Hispanic,235840,1.595282666,1.535956581,15401
2006,San Joaquin,Asian/Pacific Islander,89511,0.507300636,0.679782904,2110
